Supplier,Date,Transaksi,No.,Jatuh Tempo,Keterangan,Jumlah,Saldo
CANDRA (BLESSING),05/06/2026	,Purchase Invoice,JL.2606.01354	,05/07/2026,MASUK,1895000.0,1695000.0
CANDRA (BLESSING),08/06/2026	,Purchase Invoice,JL.2606.02028	,08/07/2026,MASUK ,11980000.0,11687500.0
CANDRA (BLESSING),08/06/2026	,Purchase Invoice,JL.2606.02029	,08/07/2026,MASUK ,11980000.0,11980000.0
CANDRA (BLESSING),08/06/2026	,Purchase Invoice,JL.2606.02032	,08/07/2026,MASUK ,11979999.999999,11979999.999999
CANDRA (BLESSING),08/06/2026	,Purchase Invoice,JL.2606.02176	,08/07/2026,MASUK ,8840000.0,8840000.0
CANDRA (BLESSING),09/06/2026	,Purchase Invoice,JL.2606.02370	,09/07/2026,MASUK ,15580000.0,15580000.0
CANDRA (BLESSING),09/06/2026	,Purchase Invoice,JL.2606.02376	,23/06/2026,MASUK ,4410000.0,4410000.0
CANDRA (BLESSING),09/06/2026	,Purchase Invoice,JL.2606.02607	,09/07/2026,MASUK ,5455000.0,5455000.0
CANDRA (BLESSING),10/06/2026	,Purchase Invoice,JL.2606.02893	,24/06/2026,masuk ,112000.0,112000.0
CANDRA (BLESSING),10/06/2026	,Purchase Invoice,JL.2606.02697	,24/06/2026,masuk ,2860000.0,2860000.0
CANDRA (BLESSING),11/06/2026	,Purchase Invoice,JL.2606.02982	,25/06/2026,masuk ,4896000.0,4896000.0
CANDRA (BLESSING),11/06/2026	,Purchase Invoice,JL.2606.03219	,25/06/2026,masuk ,1750000.0,1750000.0
CANDRA (BLESSING),11/06/2026	,Purchase Invoice,JL.2606.03184	,25/06/2026,masuk ,399000.0,399000.0
CANDRA (BLESSING),11/06/2026	,Purchase Invoice,JL.2606.03000	,25/06/2026,masuk ,4425000.0,4425000.0
CANDRA (BLESSING),12/06/2026	,Purchase Invoice,JL.2606.03257	,12/07/2026,masuk ,22470000.0,22470000.0
CANDRA (BLESSING),12/06/2026	,Purchase Invoice,JL.2606.03385	,12/07/2026,masuk ,29520000.0,29520000.0
CANDRA (BLESSING),12/06/2026	,Purchase Invoice,JL.2606.03386	,12/07/2026,masuk ,10770000.0,9161250.0
CANDRA (BLESSING),12/06/2026	,Purchase Invoice,JL.2606.03419	,26/06/2026,masuk ,8640000.0,8640000.0
CANDRA (BLESSING),12/06/2026	,Purchase Invoice,JL.2606.03492	,26/06/2026,masuk ,1693000.0,1693000.0
CANDRA (BLESSING),13/06/2026	,Purchase Invoice,JL.2606.03547	,13/07/2026,MASUK ,10770000.0,10770000.0
CANDRA (BLESSING),13/06/2026	,Purchase Invoice,JL.2606.03668	,13/07/2026,masuk ,10990000.0,10990000.0
CANDRA (BLESSING),13/06/2026	,Purchase Invoice,JL.2606.03627	,13/07/2026,BELUM MASUK,4116000.0,4116000.0
CANDRA (BLESSING),13/06/2026	,Purchase Invoice,JL.2606.03672	,13/07/2026,masuk ,4116000.0,4116000.0
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03947	,29/06/2026,masuk ,3710000.0,3710000.0
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03874	,15/07/2026,masuk ,28770000.0,28770000.0
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03827	,15/07/2026,masuk ,3590000.0,3590000.0
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03808	,15/07/2026,masuk ,6089999.999999,6089999.999999
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03806	,15/07/2026,masuk ,12790000.000001,12790000.000001
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03805	,15/07/2026,masuk ,12390000.0,12390000.0
CANDRA (BLESSING),15/06/2026	,Purchase Invoice,JL.2606.03801	,15/07/2026,,17890000.0,17890000.0
CANDRA (BLESSING),18/06/2026	,Purchase Invoice,JL.2606.04075	,18/07/2026,BELUM MASUK ,10290000.0,10290000.0
CANDRA (BLESSING),18/06/2026	,Purchase Invoice,JL.2606.04076	,18/07/2026,BELUM MASUK ,9250000.0,9250000.0
CANDRA (BLESSING),18/06/2026	,Purchase Invoice,JL.2606.04079	,18/07/2026,BELUM MASUK ,29499999.999998,29499999.999998
CANDRA (BLESSING),18/06/2026	,Purchase Invoice,JL.2606.04078	,18/07/2026,BELUM MASUK ,3554000.0,3554000.0
CANDRA (BLESSING),18/06/2026	,Purchase Invoice,JL.2606.04080	,18/07/2026,BELUM MASUK ,13980000.0,13980000.0
CANDRA (BLESSING),18/06/2026	,Purchase Invoice,JL.2606.04086	,02/07/2026,BELUM MASUK ,5250000.0,5250000.0
