Product Code,Product Name,Unassigned,Total Quantity,Product Unit
"",* ACER TRAVELMATE P214 CORE I7 1335U 8GB 512GB SSD WIN 11 VGA 4GB WIN 11,0,0,UNIT
"","* ACER VERO AV15-51-547X CI5 1155G7 8GB SSD 512GB VGA IRIS XE 15,6""",0,0,UNIT
"",* ADAPTOR ACER 12V 2A (1410),9,9,PCS
"",* ADAPTOR ACER 19V 2.1A (TO),10,10,PCS
"",* ADAPTOR ACER 19V 3.0*1.1 SWIFT,10,10,PCS
"",* ADAPTOR ACER OR 19V 3.42A (KUNING),12,12,PCS
"",* ADAPTOR ASUS 1.75A (USB),5,5,PCS
"",* ADAPTOR ASUS 19V 3.42A (KT),15,15,PCS
"","* ADAPTOR ASUS 19V 3.42A CL VIVO 4,5 X 3.0",11,11,PCS
"",* ADAPTOR ASUS 3.42A (A407),15,15,PCS
"",* ADAPTOR AXIOO HYPE 1 12V 2A,3,3,PCS
"",* ADAPTOR AXIOO HYPE 10,0,0,PCS
"",* ADAPTOR HP 19V 3.5A (BUNDAR JARUM),10,10,PCS
"",* ADAPTOR HP BIRU 19.5V 3.33A,12,12,PCS
"",* ADAPTOR LENOVO 20V 3.25A (S),14,14,PCS
"",* ADAPTOR LENOVO TYPE C 20V 3.25A,5,5,PCS
"",* ADAPTOR ORI ACER 20 V 3.25 USB TYPE C,1,1,PCS
"",* ADAPTOR TOSHIBA (ORI),15,15,PCS
"",* ADAPTOR UNIVERSAL,4,4,PCS
"",* AIO ACER C22 - 1650 CI3-1115G4 4GB 1TB WIN10,0,0,UNIT
"",* AIO ACER C22 - 1650 Ci3-1115G4 4GB 512GB SSD WIN 10,0,0,UNIT
"",* AIO ACER C22 - 1650 Ci5-1135G7 4GB 512GB SSD WIN11 (BL),0,0,UNIT
"",* AIO ACER C22 - 1700 Ci5-1235U 8GB 512GB SSD INTEL IRIS XE WIN 11,0,0,UNIT
"",* AIO ACER C24-1650 CI3-1115G4 4GB 512GB SSD WIN 11,0,0,UNIT
"",* AIO ASUS A302WBAK Ci3 1215U 8GB 512GB SSD WIN 11 HOME #,0,0,UNIT
"",* AIO ASUS A3202 Ci5-1235U 8GB 512GB SSD WIN 11 #,0,0,UNIT
"",* AIO ASUS A3202WBAK I3-1215U 8GB 256GB SSD WIN 11 #,0,0,UNIT
"","* AIO ASUS A3202WBAK INTEL 7305 8GB 256GB SSD 21,5"" WIN 11",2,2,UNIT
"",* AIO ASUS A3202WVAK Ci3-1315U 8GB 512GB SSD WIN 11,0,0,UNIT
"","* AIO ASUS E3402WVAK i7-1355U 8GB 512GB SSD 23'8"" WIN 11",0,0,UNIT
"","* AIO ASUS E402WBAK CORE I7 1255U 8GB 512GB SSD 23,8"" #",0,0,UNIT
"",* AIO ASUS EXPERTCENTER P400 P440VAT INTEL CORE i5 - 13420H 8GB DDR5 512GB SSD WIN 11 TOUCH,0,0,UNIT
"",* AIO ASUS ExpertCenter P440VAK B5151WS intel Core i5 13420H 16GB 512GB W11,0,0,UNIT
"",* AIO ASUS ExpertCenter P440VAK W5151WS intel Core i5 13420H 16GB 512GB W11,0,0,UNIT
"","* AIO ASUS P440VAK -B3851W i3 - 1315 8GB 512GB SSD WIN 11 23'8 """,0,0,UNIT
"","* AIO ASUS P440VAK i3 - 1315U 8GB DDR5 512GB SSD 23,8"" WIN 11",0,0,UNIT
"","* AIO ASUS V222FAK CI3 10110U 4GB 1TB 21'5"" NW",0,0,UNIT
"",* AIO ASUS V222FAK CI3-10110U 4GB 256GB SSD WIN 11 NW,0,0,UNIT
"",* AIO ASUS V222FAK-BA3411T Ci3-10110U 4GB 1TB + 128GB SSD,0,0,UNIT
"",* AIO ASUS V222GAK INTEL J4025 4GB 1TB HDD WIN 11 NW,0,0,UNIT
"",* AIO ASUS V241EAK - BA785W Ci7-1165G7 8GB 512GB SSD,0,0,UNIT
"","* AIO ASUS V241EPT 23.8"" INTEL I7 -1165G7 / NVIDIA MX 330 2GB / 16GB DDR 4 / 1TB HDD + 256GB SSD",0,0,UNIT
"",* AIO AXIOO HYPE FLEX 5 + INTEL CORE i5 - 12450H 16GB 512GB SSD DOS,0,0,UNIT
"",* AIO HP 22 DF0145D 1V7D8AA INTEL J4025 4GB 1TB,0,0,UNIT
"",* AIO HP 22 DG0006D INTEL N100 8GB 512GB SSD WIN 11,0,0,UNIT
"",* AIO HP 24 Ci5 1235U 8GB 512GB SSD WIN11,0,0,UNIT
"",* AIO HP 24 CR1126D ULTRA 7 155U 16GB 512GB SSD INTEL IRIS XE GRAPHICS WIN 11 *,0,0,UNIT
"","* AIO HP PRO ONE 240 G10 CORE I3 - N300 8GB 512GB SSD 23.8"" WIN 11",0,0,UNIT
"",* AIO LENOVO A100 INTEL N100 8GB DDR4 512GB SSD WIN 11,1,1,UNIT
"",* AIO LENOVO A100-F0J6005EID Intel Core i3-N305 8GB DDR4 512GB SSD Cloud Grey,0,0,UNIT
"",* AIO LENOVO IDEACENTRE 27IRH9 Ci5-13420H 8GB 512GB SSD WIN 11,0,0,UNIT
"",* AIO LENOVO IDEACENTRE 3 22ITL6 Ci3 - 1115G4 4GB 256GB SSD WIN 11 WHITE,0,0,UNIT
"",* AIO LENOVO IDEACENTRE A340 CI3-10110U 4GB 1TB HDD,0,0,UNIT
"",* AIO LENOVO IDEACENTRE A340-24IWL CI3-10110U 4GB 512GB SSD,0,0,UNIT
"",* ALFA INK ART PAPER BLACK,34,34,PCS
"",* ALFA INK KERTAS FOTO STIKER GLOSSY LITE 125GSM,6,6,PCS
"",* ALFA INK KERTAS THERMAL 80 X 80,607,607,PCS
"",* ALFA INK L SERIES EPSON BLACK,186,186,PCS
